#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 639 PUNPCKHDQ                     31                0
 640 PUNPCKHQDQ                    62                0
 642 PUNPCKLBW                   1610                0
 643 PUNPCKLDQ                     31                0
 644 PUNPCKLQDQ                    66                0
 645 PUNPCKLWD                   1610                0
 646 PUSH                     4165685                0
 652 PXOR                     1140124                0
 667 RDTSC                      19845                0
 704 RET_NEAR                 3546467                0
 705 ROL                        11913                0
 706 ROR                        42742                0
 718 SAR                       201509                0
 721 SBB                         3001                0
 727 SETB                       98667                0
 728 SETBE                      17696                0
 729 SETL                          82                0
 730 SETLE                       3206                0
 732 SETNBE                    157395                0
 733 SETNL                      70752                0
 734 SETNLE                         1                0
 738 SETNZ                     327383                0
 743 SETZ                      144833                0
 753 SHL                       964606                0
 756 SHR                      7396283                0
 775 STMXCSR                       31                0
 776 STOSB                          0           256292
 777 STOSD                          0               20
 778 STOSQ                          0            12952
 781 SUB                      4699283                0
 784 SUBSD                        620                0
 785 SUBSS                        504                0
 786 SUB_LOCK                     641                0
 788 SYSCALL                    22089                0
 795 TEST                    21623516                0
 796 TZCNT                     124205                0
 798 UCOMISD                      152                0
 799 UCOMISS                       32                0
1074 VMOVD                      34837                0
1076 VMOVDQA                   132786                0
1079 VMOVDQU                   368361                0
1096 VMOVQ                       3222                0
1137 VPALIGNR                    4959                0
1138 VPAND                      69180                0
1140 VPANDN                     69174                0
1153 VPBROADCASTB               34839                0
1163 VPCMPEQB                  259170                0
1169 VPCMPGTB                  138348                0
1173 VPCMPISTRI                  5277                0
1294 VPMINUB                    15255                0
1306 VPMOVMSKB                 224038                0
1350 VPOR                       74975                0
1400 VPSLLDQ                     8795                0
1413 VPSRLDQ                       23                0
1419 VPSUBB                     29333                0
1429 VPTEST                         2                0
1446 VPXOR                     153164                0
1527 VZEROUPPER                161500                0
1540 XADD_LOCK                   1469                0
1542 XCHG                      605104                0
1544 XGETBV                         6                0
1546 XOR                      3645605                0
1547 XORPD                        113                0
1548 XORPS                        279                0
1550 XRSTOR                       172                0
1554 XSAVE                        172                0
3000 *total                 234983916          1008751
3001 *mem-atomic               230648                0
3002 *stack-read             20327914                0
3003 *stack-write            14092554                0
3004 *iprel-read              5159387                0
3005 *iprel-write               48935                0
3007 *mem-read-1              8853225                0
3008 *mem-read-2              1409097                0
3010 *mem-read-4             10884569                0
3014 *mem-read-8             46893042                0
3022 *mem-read-16              917550                0
3038 *mem-read-32              234504                0
3519 *mem-write-1             1456369                0
3520 *mem-write-2              200212                0
3522 *mem-write-4             1639768                0
3526 *mem-write-8            14832171                0
3534 *mem-write-16             252632                0
3550 *mem-write-32              35281                0
3582 *mem-write-64                344                0
4094 LAST                         172                0
# $eof
