#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 443 MOVSX                     806260                0
 444 MOVSXD                   2359600                0
 446 MOVUPS                     53326                0
 447 MOVZX                    7320985                0
 451 MUL                          227                0
 454 MULSD                    5046359                0
 455 MULSS                     311945                0
 459 NEG                       470318                0
 461 NOP                      1662042                0
 470 NOT                       114899                0
 472 OR                        625090                0
 473 ORPD                       98394                0
 474 ORPS                       65544                0
 475 OR_LOCK                        7                0
 488 PADDD                         62                0
 489 PADDQ                        125                0
 505 PCMPEQB                  3121974                0
 506 PCMPEQD                        1                0
 512 PCMPGTD                       31                0
 515 PCMPISTRI                   9507                0
 568 PMINUB                     27926                0
 571 PMOVMSKB                 1562852                0
 592 POP                      6024968                0
 595 POPCNT                         2                0
 599 POR                        46432                0
 609 PSHUFB                      7239                0
 610 PSHUFD                      2454                0
 617 PSLLD                         31                0
 618 PSLLDQ                    355815                0
 619 PSLLQ                         62                0
 624 PSRLDQ                     43584                0
 627 PSUBB                    1528335                0
 639 PUNPCKHDQ                     31                0
 640 PUNPCKHQDQ                    62                0
 642 PUNPCKLBW                   2454                0
 643 PUNPCKLDQ                     31                0
 644 PUNPCKLQDQ                    66                0
 645 PUNPCKLWD                   2454                0
 646 PUSH                     6231074                0
 652 PXOR                     2184452                0
 667 RDTSC                      19333                0
 704 RET_NEAR                 4703147                0
 705 ROL                        68806                0
 706 ROR                        42464                0
 718 SAR                       690606                0
 721 SBB                         4304                0
 723 SCASB                          0              289
 727 SETB                      100101                0
 728 SETBE                      18439                0
 729 SETL                          82                0
 730 SETLE                       3206                0
 732 SETNBE                    159446                0
 733 SETNL                      70752                0
 734 SETNLE                       465                0
 738 SETNZ                     328732                0
 743 SETZ                      155923                0
 753 SHL                      1774605                0
 756 SHR                     10533442                0
 768 SQRTSD                     98301                0
 775 STMXCSR                       31                0
 776 STOSB                          0           256292
 777 STOSD                          0               20
 778 STOSQ                          0            13588
 781 SUB                      6732179                0
 784 SUBSD                     459397                0
 785 SUBSS                      74241                0
 786 SUB_LOCK                     653                0
 788 SYSCALL                    23085                0
 795 TEST                    30520364                0
 796 TZCNT                     136728                0
 798 UCOMISD                  1342591                0
 799 UCOMISS                   196664                0
 813 VADDSD                   1968021                0
 825 VANDNPD                   128483                0
 827 VANDPD                   1177406                0
 929 VFMADD132SD              1380977                0
